時間戳記,您的年齡是?,您的(生理)性別是?,我這一周內覺得頭暈或胸悶,我這一周內覺得身體疲勞,我這一周內容易入眠,我這一週內感到平靜、放鬆或安寧,我在遇到生氣的事情可以自己平緩情緒,我容易覺得苦惱或動怒,我感覺憂鬱、心情低落,我對身邊朋友家人感到信任,我會擔心突發狀況,我能為自己所做的事承擔後果,遇到困難時我會主動尋求協助,我會按時完成作業或任務,我能適應新的環境並結交朋友,我對自己有信心,我知道自己的優點與缺點,"我害怕自己被批評時被同學,家人知道,發現",我覺得自己比不上別人,我在新的社交環境容易感到緊張,在新環境中我通常會主動先說話,我有一個信任的朋友,表現不如預期時，我會主動去改善,"老師誤會我時,我會去跟他說清楚",在活動進行中發現原本的計畫無法順利執行，我會想辦法解決,好朋友因為一點小事生氣不理我，我會去和他解釋清楚,我對未來有明確的目標,您的居住區域是?
2023/11/30 下午 4:48:20,14,男,1,4,1,3,4,2,1,4,1,1,2,4,4,3,4,1,4,1,1,4,4,4,4,4,4,
2023/11/30 下午 4:50:11,13,男,1,4,4,4,3,2,1,4,3,2,4,4,4,4,3,1,1,1,3,4,3,4,4,2,1,
2023/11/30 下午 4:53:12,13,女,2,2,4,2,1,4,3,2,2,3,2,3,2,3,3,3,2,3,3,3,2,3,3,3,3,
2023/11/30 下午 4:57:51,18,女,4,4,4,3,4,2,1,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
2023/12/10 下午 11:12:53,13,女,1,2,3,3,3,2,1,3,2,2,3,3,3,3,3,2,1,4,1,4,4,2,3,3,4,東部(花蓮縣與臺東縣)
2023/12/10 下午 11:24:34,14,女,2,2,4,3,1,3,2,3,1,4,2,1,2,3,4,4,3,3,4,3,2,4,2,1,2,東部(花蓮縣與臺東縣)
2023/12/11 上午 12:05:00,40,女,1,1,4,4,3,3,1,4,4,1,4,4,4,3,4,1,2,3,2,4,4,2,4,4,3,東部(花蓮縣與臺東縣)
2023/12/11 上午 8:17:57,46,男,3,2,3,3,4,2,1,3,3,2,3,4,3,4,4,1,1,2,4,4,4,3,4,3,3,北部(臺北市、新北市、基隆市、新竹市、桃園市、新竹縣及宜蘭縣)
2023/12/11 下午 3:35:10,18,女,3,4,3,1,3,2,2,2,4,2,3,4,3,2,3,2,2,2,2,2,3,3,3,3,2,東部(花蓮縣與臺東縣)
2023/12/11 下午 7:21:07,14,女,2,3,3,2,3,2,3,4,3,2,4,4,4,3,3,2,2,2,3,4,4,3,3,3,3,東部(花蓮縣與臺東縣)
2023/12/11 下午 7:24:19,13,男,1,1,2,2,3,1,1,4,4,2,3,3,3,3,3,2,2,3,2,4,2,2,3,3,2,東部(花蓮縣與臺東縣)
2023/12/12 下午 6:44:46,13,男,2,4,3,4,3,3,1,3,1,1,2,3,3,3,4,3,2,4,1,3,3,2,3,3,4,東部(花蓮縣與臺東縣)
2023/12/12 下午 6:44:57,14,男,2,1,4,3,3,2,1,4,4,1,4,4,4,4,4,2,2,2,1,4,3,2,3,3,2,東部(花蓮縣與臺東縣)
2023/12/12 下午 6:50:46,13,女,1,2,3,2,2,1,1,3,2,3,2,2,2,2,2,2,2,3,1,2,2,2,2,2,2,東部(花蓮縣與臺東縣)
2023/12/12 下午 6:53:50,14,男,1,2,3,3,2,2,2,3,3,2,3,4,3,3,3,2,2,2,3,3,3,3,3,3,2,東部(花蓮縣與臺東縣)
2023/12/20 下午 3:11:21,14,男,1,4,1,1,1,1,1,1,1,1,2,4,2,1,2,3,1,1,1,1,3,3,3,3,1,東部(花蓮縣與臺東縣)
2023/12/20 下午 3:12:16,15,男,3,2,2,2,3,3,2,3,2,1,2,1,2,2,2,1,3,3,2,4,2,2,3,2,1,東部(花蓮縣與臺東縣)
2023/12/20 下午 3:13:12,15,男,3,3,3,3,4,2,2,3,3,2,3,3,3,3,3,3,1,2,3,3,3,3,3,3,3,東部(花蓮縣與臺東縣)
2023/12/20 下午 3:14:24,14,男,1,1,1,4,4,1,1,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,東部(花蓮縣與臺東縣)
2023/12/20 下午 3:15:48,14,男,1,4,4,4,4,2,2,3,4,3,4,4,3,3,3,4,2,3,2,4,3,4,2,2,3,東部(花蓮縣與臺東縣)
2023/12/20 下午 3:17:19,13,男,1,3,2,3,3,2,2,3,3,3,3,3,3,3,3,4,4,4,3,4,3,3,3,3,2,東部(花蓮縣與臺東縣)
2023/12/20 下午 3:23:38,15,女,1,2,2,3,3,2,2,3,2,3,3,3,3,3,3,2,2,2,3,3,3,3,3,2,3,東部(花蓮縣與臺東縣)
2023/12/20 下午 3:24:22,12,男,1,3,2,2,3,3,2,3,4,3,1,1,1,1,1,3,4,4,1,3,3,3,3,3,3,東部(花蓮縣與臺東縣)
2023/12/20 下午 3:24:46,15,女,2,3,2,2,3,2,2,2,1,4,2,3,1,2,3,2,3,3,1,4,3,3,3,3,3,東部(花蓮縣與臺東縣)
2023/12/20 下午 3:26:06,12,男,1,2,3,3,3,2,2,3,3,2,2,3,3,2,3,2,3,4,1,3,2,3,1,1,1,東部(花蓮縣與臺東縣)
2023/12/20 下午 3:26:23,15,男,2,3,3,2,3,2,2,3,3,3,3,3,3,3,3,3,2,3,2,2,3,3,3,3,3,東部(花蓮縣與臺東縣)
2023/12/20 下午 3:27:52,13,女,2,2,4,3,3,4,3,2,3,2,2,3,2,3,3,2,3,2,2,3,2,3,3,2,3,東部(花蓮縣與臺東縣)
2023/12/20 下午 3:28:56,15,男,1,1,3,3,2,1,1,2,3,4,2,3,4,4,4,2,1,1,4,4,3,4,4,2,4,東部(花蓮縣與臺東縣)
2023/12/20 下午 3:29:16,15,男,1,3,3,4,2,2,2,4,4,2,3,1,3,3,4,2,4,3,2,2,2,3,2,3,4,東部(花蓮縣與臺東縣)
2023/12/20 下午 3:30:17,12,男,2,4,1,1,4,1,1,4,4,4,4,4,4,4,4,2,1,4,1,4,4,4,4,4,4,東部(花蓮縣與臺東縣)
2023/12/20 下午 3:30:52,14,男,2,2,3,3,3,2,2,3,2,4,4,4,4,3,3,3,4,3,2,3,3,4,3,2,4,東部(花蓮縣與臺東縣)
2023/12/20 下午 3:31:11,14,男,1,3,2,3,3,2,2,4,4,4,3,3,2,3,3,3,3,2,2,4,3,3,3,4,2,東部(花蓮縣與臺東縣)
2023/12/20 下午 3:32:06,14,男,2,3,4,3,3,3,1,3,4,3,3,3,3,3,3,4,2,3,2,4,3,3,4,3,3,東部(花蓮縣與臺東縣)
2023/12/20 下午 3:32:08,12,男,2,2,3,3,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,4,3,4,3,3,2,東部(花蓮縣與臺東縣)
2023/12/20 下午 3:33:48,14,男,1,3,4,2,2,1,1,3,4,4,4,3,4,4,4,3,4,1,2,4,4,4,4,4,3,東部(花蓮縣與臺東縣)
2023/12/20 下午 3:34:03,13,女,2,3,3,3,2,3,2,3,1,3,3,3,3,3,2,2,2,3,2,4,3,3,3,3,2,東部(花蓮縣與臺東縣)
2023/12/20 下午 3:34:45,13,男,2,2,3,3,3,2,2,3,2,3,2,2,3,2,3,2,2,2,3,3,2,3,2,1,1,東部(花蓮縣與臺東縣)
2023/12/20 下午 3:35:51,14,男,1,2,3,2,3,2,2,1,3,3,2,2,3,3,3,1,3,3,2,1,3,3,3,1,1,東部(花蓮縣與臺東縣)
2023/12/20 下午 3:36:45,14,男,2,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,東部(花蓮縣與臺東縣)
2023/12/20 下午 3:37:11,13,男,1,2,3,3,3,2,2,3,2,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,東部(花蓮縣與臺東縣)
2023/12/20 下午 3:38:58,13,男,1,1,3,3,3,2,2,3,3,3,3,3,4,4,4,3,2,3,2,4,4,4,4,4,2,東部(花蓮縣與臺東縣)
2023/12/20 下午 3:39:39,14,男,1,2,1,2,3,3,3,4,3,3,3,2,3,2,3,3,2,2,3,3,3,3,3,3,1,東部(花蓮縣與臺東縣)
2023/12/21 上午 8:26:48,14,男,2,1,2,2,4,2,1,4,2,4,4,4,3,3,4,2,2,2,4,4,4,4,4,4,4,東部(花蓮縣與臺東縣)
2023/12/21 上午 8:26:59,13,女,3,3,4,2,1,3,2,2,3,3,2,1,1,2,2,2,1,3,1,1,2,4,2,1,2,東部(花蓮縣與臺東縣)
2023/12/21 上午 8:27:20,13,女,4,4,4,1,3,4,4,3,4,4,4,3,2,1,1,3,4,4,1,2,2,4,4,4,1,東部(花蓮縣與臺東縣)
2023/12/21 上午 8:27:23,13,男,1,2,1,3,4,1,1,3,1,3,3,3,3,3,3,1,1,1,3,3,3,3,3,4,2,東部(花蓮縣與臺東縣)
2023/12/21 上午 8:27:26,13,男,3,3,2,2,3,2,2,4,4,3,3,4,4,3,2,3,4,4,2,4,3,2,2,3,3,東部(花蓮縣與臺東縣)
2023/12/21 上午 8:27:27,13,男,1,1,4,4,4,1,1,4,2,4,4,4,4,4,4,1,1,4,2,4,4,3,3,3,3,東部(花蓮縣與臺東縣)
2023/12/21 上午 8:27:34,14,男,1,1,4,4,4,1,1,4,4,3,4,4,4,4,4,3,2,4,4,4,4,4,4,4,4,東部(花蓮縣與臺東縣)
2023/12/21 上午 8:27:38,13,男,3,4,3,2,3,3,2,2,4,2,2,3,2,4,3,3,3,3,1,4,3,2,3,2,4,東部(花蓮縣與臺東縣)
2023/12/21 上午 8:27:48,13,女,2,2,4,3,3,4,3,2,1,3,1,3,2,1,2,3,3,4,2,4,2,3,4,3,3,東部(花蓮縣與臺東縣)
2023/12/21 上午 8:27:52,14,男,2,2,2,3,3,2,2,3,2,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,東部(花蓮縣與臺東縣)
2023/12/21 上午 8:27:55,14,女,1,2,4,2,1,4,1,3,4,2,3,2,3,3,3,2,4,4,4,4,3,4,3,2,1,東部(花蓮縣與臺東縣)
2023/12/21 上午 8:28:07,14,男,4,3,3,2,1,3,1,2,1,4,2,3,4,3,3,4,3,1,2,4,3,1,3,1,4,東部(花蓮縣與臺東縣)
2023/12/21 上午 8:28:10,13,女,1,1,3,3,1,1,1,3,2,2,3,3,3,3,3,2,2,2,2,4,2,3,3,3,3,東部(花蓮縣與臺東縣)
2023/12/21 上午 8:28:13,13,女,1,2,4,3,3,2,2,3,4,4,4,4,2,2,4,4,3,4,2,4,4,3,3,2,2,東部(花蓮縣與臺東縣)
2023/12/21 上午 8:28:20,13,女,1,1,4,2,2,1,1,3,3,3,3,3,2,3,3,2,2,3,1,2,3,2,2,3,3,東部(花蓮縣與臺東縣)
2023/12/21 上午 8:28:28,13,女,1,1,4,2,1,1,1,4,4,3,1,3,4,4,3,2,1,1,4,4,3,4,3,1,4,東部(花蓮縣與臺東縣)
2023/12/21 上午 8:28:36,14,女,1,3,4,4,2,3,1,2,4,4,4,3,4,4,2,1,2,4,1,2,2,3,3,1,1,東部(花蓮縣與臺東縣)
2023/12/21 上午 8:28:37,14,女,3,3,2,2,3,2,2,3,3,3,3,2,4,3,3,3,3,1,4,3,4,3,3,3,3,東部(花蓮縣與臺東縣)
2023/12/21 上午 8:28:47,13,男,1,2,3,2,4,1,1,4,2,3,3,3,4,3,3,2,2,1,2,4,3,3,2,3,1,東部(花蓮縣與臺東縣)
2023/12/21 上午 8:28:50,13,女,1,2,4,3,3,1,1,3,3,3,4,3,3,4,4,2,1,4,1,4,4,2,3,3,3,東部(花蓮縣與臺東縣)
2023/12/21 上午 8:29:00,13,女,1,2,2,2,1,4,2,4,4,2,2,3,2,2,2,4,4,4,2,3,2,2,2,2,2,東部(花蓮縣與臺東縣)
2023/12/21 上午 8:29:57,14,男,1,3,3,2,3,2,2,3,3,3,3,4,4,3,3,1,3,2,3,4,2,3,2,3,1,東部(花蓮縣與臺東縣)
2023/12/21 上午 8:30:01,13,男,1,1,2,2,4,1,1,4,4,3,4,4,4,2,2,1,2,2,4,4,3,4,3,3,4,東部(花蓮縣與臺東縣)
2023/12/21 上午 8:30:11,14,男,1,1,4,3,3,1,1,4,2,3,3,4,4,4,2,1,1,1,1,4,3,4,3,4,3,東部(花蓮縣與臺東縣)
2023/12/21 上午 8:31:00,14,男,1,2,2,3,4,1,1,4,4,3,3,3,4,3,2,2,1,2,3,4,3,3,2,4,2,東部(花蓮縣與臺東縣)
2023/12/21 上午 8:31:22,13,女,1,2,4,3,3,2,2,2,4,4,3,3,4,4,4,1,4,2,3,4,2,4,4,3,4,東部(花蓮縣與臺東縣)
2023/12/21 上午 8:31:28,14,男,1,3,2,2,2,2,2,3,3,3,3,4,4,3,3,1,2,2,3,4,3,3,3,3,1,東部(花蓮縣與臺東縣)
2023/12/21 上午 10:16:03,14,女,2,2,4,1,1,2,3,2,4,1,1,1,2,2,1,4,4,4,1,1,1,1,2,1,1,東部(花蓮縣與臺東縣)
2023/12/21 上午 10:16:06,13,男,1,4,4,2,1,4,3,2,4,1,4,1,2,1,4,4,4,1,2,4,4,4,4,4,1,東部(花蓮縣與臺東縣)
2023/12/21 上午 10:16:25,15,女,1,2,1,1,2,1,1,4,1,3,4,4,4,2,3,2,1,2,4,4,2,4,4,4,3,東部(花蓮縣與臺東縣)
2023/12/21 上午 10:16:35,14,女,1,1,3,3,4,2,1,4,3,4,4,4,3,4,4,2,1,2,1,4,2,3,4,4,3,東部(花蓮縣與臺東縣)
2023/12/21 上午 10:16:37,13,女,2,2,3,3,4,3,2,4,2,3,4,4,3,3,4,2,3,4,3,4,4,3,4,3,4,東部(花蓮縣與臺東縣)
2023/12/21 上午 10:16:39,13,男,1,1,3,2,1,1,1,4,1,4,1,2,4,4,4,1,1,1,2,4,3,4,1,4,3,東部(花蓮縣與臺東縣)
2023/12/21 上午 10:16:41,13,女,1,4,4,4,3,2,2,3,1,1,2,3,3,4,3,4,2,4,3,4,2,2,3,3,1,東部(花蓮縣與臺東縣)
2023/12/21 上午 10:16:49,13,男,1,2,3,1,2,3,3,4,4,2,3,2,3,3,2,4,4,2,3,4,4,4,4,4,3,東部(花蓮縣與臺東縣)
2023/12/21 上午 10:16:56,13,女,1,1,2,1,1,4,3,4,1,4,4,3,4,4,4,4,1,3,4,4,4,4,4,4,3,東部(花蓮縣與臺東縣)
2023/12/21 上午 10:16:56,13,男,2,2,2,2,3,2,3,2,2,3,2,2,3,2,2,3,3,3,2,2,2,2,2,2,1,東部(花蓮縣與臺東縣)
2023/12/21 上午 10:16:57,14,男,1,1,2,1,1,2,3,1,3,2,1,4,4,3,4,4,4,2,3,4,2,1,4,2,1,東部(花蓮縣與臺東縣)
2023/12/21 上午 10:16:58,13,男,1,2,4,4,4,2,1,4,2,4,4,3,4,4,3,1,1,1,4,4,4,4,4,4,2,東部(花蓮縣與臺東縣)
2023/12/21 上午 10:17:00,13,女,1,1,1,2,4,1,1,4,4,4,4,4,4,4,4,1,1,4,4,4,4,4,4,4,4,東部(花蓮縣與臺東縣)
2023/12/21 上午 10:17:04,14,男,1,1,3,3,3,1,1,4,3,3,3,3,2,3,2,2,2,4,1,4,3,3,3,3,3,東部(花蓮縣與臺東縣)
2023/12/21 上午 10:17:19,13,男,3,2,3,2,2,3,2,3,3,3,2,3,3,2,3,4,4,3,2,3,1,3,3,2,2,東部(花蓮縣與臺東縣)
2023/12/21 上午 10:17:22,13,女,2,2,4,1,1,3,1,4,3,3,2,3,3,1,3,2,2,4,1,3,3,4,3,2,2,東部(花蓮縣與臺東縣)
2023/12/21 上午 10:17:23,14,男,4,3,2,2,3,3,3,4,3,4,4,3,4,3,2,2,4,2,3,4,3,4,3,2,4,東部(花蓮縣與臺東縣)
2023/12/21 上午 10:17:33,13,男,1,4,1,1,3,4,2,3,2,3,1,2,1,4,4,2,2,2,2,2,3,4,4,3,1,東部(花蓮縣與臺東縣)
2023/12/21 上午 10:17:43,13,男,1,2,1,2,2,2,1,3,1,3,3,4,3,3,2,2,3,3,2,2,2,2,2,2,3,東部(花蓮縣與臺東縣)
2023/12/21 上午 10:17:46,13,男,1,1,2,1,2,1,3,1,1,4,1,4,1,1,3,1,4,2,1,1,2,2,3,1,1,東部(花蓮縣與臺東縣)
2023/12/21 上午 10:17:52,13,男,1,2,4,2,4,4,3,3,3,4,3,3,4,3,3,4,3,2,3,4,3,3,3,2,2,東部(花蓮縣與臺東縣)
2023/12/21 上午 10:37:36,13,女,1,2,2,2,2,3,4,2,4,2,2,3,2,2,3,3,3,2,1,2,2,3,2,3,2,東部(花蓮縣與臺東縣)
2023/12/21 上午 10:58:40,14,男,2,3,3,2,2,2,2,4,3,2,2,3,4,2,3,3,1,2,3,4,3,2,3,3,4,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:09:00,14,男,1,4,4,4,4,1,1,4,1,4,4,4,3,3,3,3,4,3,1,3,4,4,4,1,2,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:09:10,13,女,1,1,3,2,2,2,2,3,2,2,2,2,2,2,2,3,2,4,1,3,2,2,2,2,2,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:09:23,13,男,1,1,4,4,4,1,1,4,4,4,4,3,4,4,3,2,1,2,3,4,4,4,4,3,1,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:09:34,13,男,1,1,2,4,2,1,1,2,1,3,2,4,4,1,4,4,4,2,3,4,2,3,3,1,3,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:09:41,13,男,1,1,4,3,4,1,1,4,2,3,4,3,4,4,4,4,4,4,3,4,4,4,3,4,2,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:09:47,14,男,1,2,4,2,3,3,3,4,4,3,3,2,3,4,3,2,3,4,2,4,3,1,3,1,3,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:09:47,13,女,2,3,3,3,3,2,1,4,3,4,3,3,3,3,3,2,2,1,2,4,4,3,3,3,3,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:09:51,13,女,2,1,4,4,3,2,1,4,4,4,4,4,4,3,3,2,4,2,2,4,4,2,4,4,2,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:09:55,14,女,1,3,3,1,4,2,4,2,3,4,3,2,3,2,3,3,4,2,3,3,3,3,3,3,4,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:10:00,13,女,1,1,3,3,3,2,1,3,2,4,3,4,2,2,2,3,2,3,1,3,3,2,3,2,2,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:10:02,14,女,2,3,3,2,1,2,3,2,3,3,4,4,3,2,4,2,3,3,2,1,3,4,4,2,2,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:10:06,14,女,3,2,4,3,4,1,1,4,2,4,3,4,4,2,2,1,2,3,2,2,2,4,3,3,2,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:10:15,13,男,1,3,3,3,2,1,4,3,3,2,3,2,4,4,4,4,1,3,2,4,2,4,4,4,4,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:10:24,14,男,2,3,4,2,2,3,1,3,4,2,2,3,3,3,2,2,3,4,1,4,2,2,2,2,2,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:10:32,14,男,1,2,3,3,4,1,2,3,4,3,3,3,3,4,4,4,2,4,1,4,3,3,3,3,4,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:10:38,13,男,1,1,4,3,4,1,1,4,3,4,4,4,4,4,3,2,1,3,1,4,4,3,4,3,3,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:10:47,14,男,3,4,4,2,3,3,3,3,4,4,4,3,2,2,2,4,4,4,2,4,3,2,2,1,1,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:11:02,13,女,2,2,3,2,2,3,4,3,3,3,2,2,2,2,3,4,4,4,2,3,3,2,3,2,4,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:11:05,13,男,3,2,3,1,3,2,2,1,1,2,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:11:34,13,女,1,2,4,3,3,1,3,3,3,3,3,2,3,2,2,2,3,3,2,3,3,3,3,3,2,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:12:22,13,女,2,3,2,2,1,1,4,2,1,4,4,4,2,1,3,2,4,3,2,2,3,4,3,2,2,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:32:06,14,女,1,2,4,2,3,3,3,2,3,2,2,2,2,2,1,2,2,2,2,2,3,2,3,2,1,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:24:37,14,女,2,4,4,2,1,1,2,4,1,3,3,2,2,3,3,4,4,3,1,4,4,3,3,3,2,東部(花蓮縣與臺東縣)
