時間戳記,您的年齡是?,您的(生理)性別是?,我這一周內覺得頭暈或胸悶,我這一周內覺得身體疲勞,我這一周內容易入眠,我這一週內感到平靜、放鬆或安寧,我在遇到生氣的事情可以自己平緩情緒,我容易覺得苦惱或動怒,我感覺憂鬱、心情低落,我對身邊朋友家人感到信任,我會擔心突發狀況,我能為自己所做的事承擔後果,遇到困難時我會主動尋求協助,我會按時完成作業或任務,我能適應新的環境並結交朋友,我對自己有信心,我知道自己的優點與缺點,"我害怕自己被批評時被同學,家人知道,發現",我覺得自己比不上別人,我在新的社交環境容易感到緊張,在新環境中我通常會主動先說話,我有一個信任的朋友,表現不如預期時，我會主動去改善,"老師誤會我時,我會去跟他說清楚",在活動進行中發現原本的計畫無法順利執行，我會想辦法解決,好朋友因為一點小事生氣不理我，我會去和他解釋清楚,我對未來有明確的目標,您的居住區域是?
2023/12/22 下午 1:24:38,21,其他,4,4,4,2,2,4,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:24:49,14,男,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:24:52,14,男,4,4,2,1,1,4,4,2,4,4,1,4,3,1,3,3,4,4,1,3,1,1,1,3,1,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:24:54,14,女,2,3,2,2,3,3,2,2,4,2,2,2,2,3,3,2,3,3,1,3,3,4,3,2,3,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:24:58,14,女,1,2,2,2,4,2,2,4,4,4,2,2,2,2,3,2,3,4,1,4,4,2,3,3,3,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:24:59,14,男,1,3,3,2,4,2,2,3,2,3,2,2,3,3,3,1,2,2,3,3,3,1,3,2,3,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:25:00,14,男,1,2,2,2,2,2,2,3,3,4,3,1,4,3,4,2,2,2,2,3,2,3,2,3,3,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:25:00,15,男,1,3,3,3,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:25:01,15,男,1,4,4,3,2,2,2,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:25:02,15,女,2,3,4,1,3,4,2,3,4,2,3,3,2,2,3,4,3,3,2,4,3,1,3,2,2,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:25:11,15,女,1,3,4,2,3,2,2,3,2,2,3,3,3,3,3,2,2,3,2,2,3,3,3,2,4,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:25:13,14,女,1,3,3,2,3,3,3,2,3,2,2,2,2,2,2,2,3,3,2,4,2,2,2,2,2,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:25:15,14,女,1,1,1,1,1,1,1,1,1,4,4,3,4,4,4,4,2,4,4,4,4,4,4,3,4,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:25:16,22,其他,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:25:17,14,女,1,1,4,4,4,1,1,4,1,4,4,4,4,4,4,1,1,1,3,4,4,3,4,4,4,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:25:22,15,男,2,4,2,4,4,2,1,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:25:30,14,男,1,1,2,3,4,1,1,3,4,3,3,3,3,2,2,2,3,3,1,3,2,2,3,3,3,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:25:30,15,女,1,2,3,3,2,3,2,2,4,4,3,2,4,2,2,2,2,2,2,4,2,3,3,2,4,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:25:37,14,女,3,3,4,3,2,4,2,4,4,3,4,2,3,4,3,3,2,3,1,3,3,4,3,1,3,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:25:50,14,男,1,2,3,2,3,2,4,3,1,3,2,3,4,4,2,1,1,1,3,3,3,3,3,3,4,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:25:50,14,女,1,2,2,3,2,3,3,3,2,4,2,3,1,1,2,4,4,4,1,3,1,2,3,4,2,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:25:51,15,男,1,3,2,4,3,3,3,4,3,4,3,3,4,4,4,1,4,1,4,4,3,1,3,3,4,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:26:00,14,女,2,2,4,2,4,2,1,4,4,4,4,3,4,4,4,4,2,4,2,4,4,4,4,3,3,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:26:05,14,女,2,3,2,2,3,2,2,3,3,2,2,2,3,2,3,2,3,3,2,3,2,2,3,3,2,東部(花蓮縣與臺東縣)
2023/12/22 下午 2:20:58,15,男,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,3,1,4,2,3,4,2,2,東部(花蓮縣與臺東縣)
2023/12/22 下午 2:21:06,15,男,1,2,3,2,3,2,1,3,3,3,3,4,3,3,3,3,2,3,4,1,3,3,3,3,3,東部(花蓮縣與臺東縣)
2023/12/22 下午 2:21:09,15,女,1,2,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,東部(花蓮縣與臺東縣)
2023/12/22 下午 2:21:16,15,女,1,1,3,2,3,2,2,2,3,3,3,4,3,2,3,3,2,3,3,4,3,3,3,3,2,東部(花蓮縣與臺東縣)
2023/12/22 下午 2:21:16,14,男,1,1,4,3,3,2,1,4,3,4,4,4,4,3,3,4,2,3,2,4,3,4,3,4,3,東部(花蓮縣與臺東縣)
2023/12/22 下午 2:21:32,15,女,2,3,2,2,2,2,2,2,2,2,3,2,3,3,2,3,2,2,3,4,3,3,3,3,3,東部(花蓮縣與臺東縣)
2023/12/22 下午 2:21:32,15,女,1,4,4,2,3,2,3,4,2,3,3,4,3,2,3,2,3,3,2,4,3,3,3,3,2,東部(花蓮縣與臺東縣)
2023/12/22 下午 2:21:52,14,女,1,4,4,2,4,3,1,4,3,4,4,3,2,3,4,3,4,3,1,4,4,3,4,2,1,東部(花蓮縣與臺東縣)
2023/12/22 下午 2:21:53,14,男,1,4,4,3,4,1,1,3,1,4,4,4,4,4,4,1,1,1,3,3,1,4,4,3,4,東部(花蓮縣與臺東縣)
2023/12/22 下午 2:22:10,14,女,1,4,1,2,2,1,1,2,1,3,1,2,1,1,2,4,4,4,1,2,4,2,1,1,1,東部(花蓮縣與臺東縣)
2023/12/22 下午 2:22:15,14,男,2,3,4,3,2,2,2,3,3,3,3,3,2,2,3,3,2,2,2,4,3,2,3,2,1,東部(花蓮縣與臺東縣)
2023/12/22 下午 2:22:16,15,男,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,東部(花蓮縣與臺東縣)
2023/12/22 下午 2:22:26,14,女,2,1,4,3,4,1,1,3,3,3,3,4,4,4,3,2,1,2,2,4,3,3,3,3,2,東部(花蓮縣與臺東縣)
2023/12/22 下午 2:22:27,14,女,4,3,3,1,2,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,東部(花蓮縣與臺東縣)
2023/12/22 下午 2:22:27,14,男,1,3,3,2,1,1,1,2,2,1,1,1,2,2,2,4,3,4,2,2,2,3,2,3,1,東部(花蓮縣與臺東縣)
2023/12/22 下午 2:23:05,15,女,2,4,4,2,3,1,1,3,3,4,3,4,3,1,2,4,3,4,1,4,3,2,4,3,3,東部(花蓮縣與臺東縣)
2023/12/22 下午 2:23:10,15,女,2,3,4,3,3,2,2,4,3,3,4,3,3,3,3,2,2,2,3,3,3,3,3,3,2,東部(花蓮縣與臺東縣)
2023/12/22 下午 2:23:16,15,男,1,1,3,2,4,1,1,4,4,4,4,4,4,4,4,2,4,1,4,2,4,4,4,4,4,東部(花蓮縣與臺東縣)
2023/12/22 下午 2:23:22,14,男,3,4,4,1,3,4,3,4,4,4,4,1,4,2,2,1,4,1,4,4,4,4,4,4,4,東部(花蓮縣與臺東縣)
2023/12/22 下午 2:23:24,14,女,3,4,4,2,3,2,3,4,4,4,3,3,3,3,3,3,3,4,3,3,3,4,4,3,2,東部(花蓮縣與臺東縣)
2023/12/22 下午 2:23:36,14,女,1,3,2,3,4,1,1,4,2,4,3,4,3,4,2,1,2,2,2,4,4,3,3,4,3,東部(花蓮縣與臺東縣)
2023/12/22 下午 2:23:45,15,女,1,2,2,2,2,1,3,3,3,4,4,4,4,2,3,4,4,4,3,4,2,3,3,3,2,東部(花蓮縣與臺東縣)
2023/12/22 下午 2:23:46,14,男,1,1,3,4,4,1,1,4,1,4,4,4,4,4,4,2,1,1,2,4,4,4,4,4,4,東部(花蓮縣與臺東縣)
2023/12/22 下午 2:35:33,15,女,1,3,3,2,3,2,2,3,3,3,3,2,3,3,3,4,3,4,2,3,3,4,4,1,4,東部(花蓮縣與臺東縣)
2023/12/25 下午 3:15:55,15,男,1,1,4,4,4,1,1,4,3,4,4,4,4,4,4,2,3,2,4,4,4,4,4,4,4,東部(花蓮縣與臺東縣)
2023/12/25 下午 3:16:12,15,男,1,1,3,3,3,1,2,4,2,4,4,4,4,4,4,3,1,2,2,4,4,4,4,2,4,東部(花蓮縣與臺東縣)
2023/12/25 下午 3:16:20,15,男,3,3,3,2,3,3,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,東部(花蓮縣與臺東縣)
2023/12/25 下午 3:16:43,15,女,2,4,2,3,3,3,3,4,3,3,4,4,2,1,3,3,3,3,4,4,4,4,3,1,4,東部(花蓮縣與臺東縣)
2023/12/25 下午 3:16:44,15,女,4,4,4,2,2,2,2,2,2,4,4,4,1,2,4,2,4,4,1,4,3,4,3,1,1,東部(花蓮縣與臺東縣)
2023/12/25 下午 3:16:49,14,女,1,3,3,1,2,1,3,2,4,3,3,3,3,2,2,4,4,2,2,3,2,1,2,4,3,東部(花蓮縣與臺東縣)
2023/12/25 下午 3:16:55,14,男,1,1,4,4,1,1,1,4,2,3,4,4,4,3,3,2,3,3,2,3,3,3,3,3,1,東部(花蓮縣與臺東縣)
2023/12/25 下午 3:16:55,15,女,3,1,2,1,3,2,1,3,1,4,2,2,2,2,3,3,2,1,1,4,4,2,4,1,4,東部(花蓮縣與臺東縣)
2023/12/25 下午 3:16:56,15,男,1,1,1,2,3,1,1,3,4,2,3,3,3,3,3,3,2,2,1,2,3,3,2,3,2,東部(花蓮縣與臺東縣)
2023/12/25 下午 3:17:03,15,女,2,3,4,3,2,4,3,4,3,3,3,3,3,2,4,4,4,3,3,4,3,4,3,3,3,東部(花蓮縣與臺東縣)
2023/12/25 下午 3:17:14,14,女,1,2,2,2,4,2,2,3,4,3,2,3,3,2,4,4,4,4,2,4,3,2,2,1,3,東部(花蓮縣與臺東縣)
2023/12/25 下午 3:17:16,15,女,2,4,4,3,3,2,2,4,4,2,2,3,4,3,3,3,2,2,4,4,3,2,2,3,4,東部(花蓮縣與臺東縣)
2023/12/25 下午 3:17:18,14,男,1,2,2,2,3,2,2,3,2,2,2,2,3,2,2,3,3,3,2,3,2,2,2,3,2,東部(花蓮縣與臺東縣)
2023/12/25 下午 3:17:20,14,女,1,2,2,1,2,1,1,2,2,4,4,2,4,2,3,1,1,2,1,2,2,4,4,4,4,東部(花蓮縣與臺東縣)
2023/12/25 下午 3:17:22,14,男,1,2,3,2,2,1,2,3,2,2,2,2,4,2,4,2,2,1,3,3,2,1,1,2,2,東部(花蓮縣與臺東縣)
2023/12/25 下午 3:17:32,14,男,2,2,3,3,3,1,1,3,2,4,4,4,4,4,3,2,3,3,2,3,3,3,3,3,3,東部(花蓮縣與臺東縣)
2023/12/25 下午 3:17:32,15,女,1,4,4,2,3,2,1,3,4,3,3,3,3,2,2,3,3,3,1,3,2,3,2,1,2,東部(花蓮縣與臺東縣)
2023/12/25 下午 3:17:43,14,女,4,3,2,2,4,3,2,1,3,1,1,2,1,1,1,4,4,4,1,1,1,1,3,1,3,東部(花蓮縣與臺東縣)
2023/12/25 下午 3:18:11,15,女,1,2,2,1,1,2,2,1,2,4,3,3,3,1,4,3,3,4,3,1,4,4,4,2,4,東部(花蓮縣與臺東縣)
2023/12/25 下午 3:18:11,15,男,1,4,4,4,4,1,1,4,1,4,4,4,4,4,4,1,1,4,4,4,4,4,4,4,4,東部(花蓮縣與臺東縣)
2023/12/25 下午 3:28:37,14,男,1,1,3,3,3,1,1,3,1,3,3,3,3,3,3,2,1,1,3,3,3,3,3,3,4,東部(花蓮縣與臺東縣)
2023/12/25 下午 3:28:51,14,女,3,4,2,1,2,3,3,1,3,3,2,2,2,2,2,4,4,4,2,3,2,1,2,4,1,東部(花蓮縣與臺東縣)
2023/12/27 上午 9:19:18,13,男,1,1,4,4,1,1,1,4,1,4,4,4,4,4,4,1,1,1,1,4,4,4,4,3,2,東部(花蓮縣與臺東縣)
2023/12/27 上午 9:19:39,14,女,1,1,4,3,3,1,2,1,3,1,4,1,3,1,3,1,2,1,2,1,2,1,1,2,2,東部(花蓮縣與臺東縣)
2023/12/27 上午 9:19:43,13,女,1,2,2,4,3,3,1,4,3,3,4,4,3,3,3,4,3,4,2,4,3,3,3,3,4,東部(花蓮縣與臺東縣)
2023/12/27 上午 9:19:53,13,女,1,2,1,2,3,3,2,1,4,4,4,4,1,1,1,4,4,4,1,1,4,1,4,1,1,東部(花蓮縣與臺東縣)
2023/12/27 上午 9:20:05,14,女,1,1,4,2,3,1,1,4,2,3,3,4,3,2,2,4,4,4,2,1,2,2,3,2,4,東部(花蓮縣與臺東縣)
2023/12/27 上午 9:20:11,13,女,3,3,4,2,3,2,2,4,4,4,4,4,4,4,3,3,4,2,3,3,4,4,4,2,3,東部(花蓮縣與臺東縣)
2023/12/27 上午 9:20:15,13,女,1,2,3,3,3,1,1,4,4,3,2,4,3,2,2,3,1,1,3,2,2,3,2,3,2,東部(花蓮縣與臺東縣)
2023/12/27 上午 9:20:24,13,女,3,2,1,2,2,3,2,2,1,4,1,3,2,2,2,2,2,2,1,2,3,3,3,1,3,東部(花蓮縣與臺東縣)
2023/12/27 上午 9:20:35,13,男,1,2,4,3,3,2,1,3,3,2,3,3,4,3,2,3,2,4,3,4,3,3,2,4,2,東部(花蓮縣與臺東縣)
2023/12/27 上午 9:20:39,13,女,2,3,3,2,4,2,3,1,4,3,2,4,3,1,3,4,4,4,2,3,3,4,3,3,1,東部(花蓮縣與臺東縣)
2023/12/27 上午 9:20:54,13,男,2,2,2,3,2,2,2,4,2,4,4,4,4,2,2,2,2,1,4,4,4,2,4,4,4,東部(花蓮縣與臺東縣)
2023/12/27 上午 9:20:58,13,女,1,1,3,2,3,2,1,3,1,4,3,4,3,3,3,1,1,2,2,3,3,3,3,1,1,東部(花蓮縣與臺東縣)
2023/12/27 上午 9:20:58,13,男,1,2,3,3,3,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,東部(花蓮縣與臺東縣)
2023/12/27 上午 9:21:00,14,女,1,2,3,3,3,2,3,3,4,3,3,2,4,3,3,4,3,4,2,4,2,4,2,4,2,東部(花蓮縣與臺東縣)
2023/12/27 上午 9:21:01,13,女,2,2,1,1,1,3,3,1,3,2,2,3,1,1,3,4,4,4,1,2,3,2,2,3,2,東部(花蓮縣與臺東縣)
2023/12/27 上午 9:21:02,13,男,4,3,4,2,2,4,1,3,2,4,3,1,4,4,4,4,4,2,2,4,1,1,1,1,2,東部(花蓮縣與臺東縣)
2023/12/27 上午 9:21:14,13,男,1,2,4,3,3,1,2,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,東部(花蓮縣與臺東縣)
2023/12/27 上午 9:21:22,14,男,2,2,2,2,4,2,2,4,3,3,3,3,4,3,4,2,3,2,4,4,3,3,3,3,3,東部(花蓮縣與臺東縣)
2023/12/27 上午 9:21:34,13,男,2,4,2,2,4,3,1,3,4,4,1,4,4,4,4,1,1,4,4,4,2,1,3,1,4,東部(花蓮縣與臺東縣)
2023/12/27 上午 9:26:21,13,男,3,4,4,2,4,2,1,3,2,3,3,3,3,2,2,2,1,3,3,3,3,4,3,3,3,東部(花蓮縣與臺東縣)
2023/12/27 上午 9:26:28,13,女,1,1,4,3,3,3,2,3,1,4,4,3,4,4,4,4,1,1,4,4,3,3,4,1,3,東部(花蓮縣與臺東縣)
2023/12/27 上午 9:27:59,13,女,1,1,1,4,3,2,1,4,4,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,東部(花蓮縣與臺東縣)
2023/12/27 上午 9:28:22,13,男,1,1,3,4,4,1,1,4,4,4,4,4,4,2,3,4,4,4,1,4,3,2,4,4,3,東部(花蓮縣與臺東縣)
2023/12/27 上午 11:09:21,14,男,1,3,4,4,2,2,1,3,2,4,4,4,4,4,2,2,4,1,1,2,1,3,2,3,2,東部(花蓮縣與臺東縣)
2023/12/27 上午 11:09:35,18,男,1,3,4,4,4,4,1,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,1,東部(花蓮縣與臺東縣)
2023/12/27 上午 11:09:46,13,男,1,2,4,3,4,3,1,4,4,4,4,4,4,4,4,4,1,4,3,4,4,4,4,4,4,東部(花蓮縣與臺東縣)
2023/12/27 上午 11:10:03,13,女,1,2,3,3,2,3,3,2,4,4,2,2,2,1,2,1,4,2,1,4,2,1,3,4,4,東部(花蓮縣與臺東縣)
2023/12/27 上午 11:10:16,13,女,3,3,2,1,3,2,3,4,3,3,3,3,3,3,3,1,2,4,1,4,3,1,4,4,4,東部(花蓮縣與臺東縣)
2023/12/27 上午 11:10:23,13,男,1,1,3,3,4,4,1,3,4,3,3,4,4,3,4,4,1,2,2,3,3,4,3,4,2,東部(花蓮縣與臺東縣)
2023/12/27 上午 11:10:28,14,男,1,3,4,3,4,1,1,4,1,4,3,4,4,3,4,3,2,3,2,4,3,4,4,3,3,東部(花蓮縣與臺東縣)
2023/12/27 上午 11:10:29,14,女,3,3,2,3,3,3,2,4,4,3,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3,東部(花蓮縣與臺東縣)
2023/12/27 上午 11:10:30,14,女,4,3,4,2,2,2,2,3,4,2,3,3,1,2,2,3,2,4,1,4,3,4,3,3,3,東部(花蓮縣與臺東縣)
2023/12/27 上午 11:10:31,14,女,2,4,4,1,2,3,2,4,4,3,2,2,3,2,4,4,3,2,3,4,3,4,3,3,3,東部(花蓮縣與臺東縣)
2023/12/27 上午 11:10:32,13,女,1,3,2,3,3,2,2,3,1,3,3,3,3,3,3,2,3,3,2,4,3,3,3,3,3,東部(花蓮縣與臺東縣)
2023/12/27 上午 11:10:33,14,女,2,2,4,1,3,2,2,3,4,4,4,3,3,2,2,2,4,3,2,3,3,4,3,3,1,東部(花蓮縣與臺東縣)
2023/12/27 上午 11:10:35,14,男,1,2,4,4,4,2,2,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,東部(花蓮縣與臺東縣)
2023/12/27 上午 11:10:36,14,男,2,2,3,3,3,2,2,3,3,3,3,4,2,3,3,2,2,3,1,1,3,3,3,3,2,東部(花蓮縣與臺東縣)
2023/12/27 上午 11:10:37,14,男,1,1,4,3,2,2,2,4,3,3,4,4,3,3,3,2,2,2,2,4,2,2,2,3,2,東部(花蓮縣與臺東縣)
2023/12/27 上午 11:10:42,13,女,3,3,4,2,1,2,2,2,3,2,4,3,2,4,4,3,3,3,2,3,2,3,3,3,4,東部(花蓮縣與臺東縣)
2023/12/27 上午 11:10:52,14,女,1,1,3,3,3,1,1,4,3,3,4,4,2,3,2,4,3,4,2,4,3,3,4,4,2,東部(花蓮縣與臺東縣)
2023/12/27 上午 11:10:53,13,女,1,1,3,3,3,2,1,2,3,4,4,2,4,3,3,3,3,3,2,4,3,2,3,2,2,東部(花蓮縣與臺東縣)
2023/12/27 上午 11:11:08,15,女,1,1,1,4,4,1,1,4,1,4,4,4,4,4,4,1,1,1,1,4,4,4,4,4,4,東部(花蓮縣與臺東縣)
2023/12/27 上午 11:11:24,14,女,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,東部(花蓮縣與臺東縣)
2023/12/27 上午 11:11:33,14,女,3,4,1,2,2,3,3,2,4,3,3,3,2,1,2,4,4,3,2,3,3,3,3,3,3,東部(花蓮縣與臺東縣)
2023/12/27 上午 11:11:34,14,男,1,2,3,3,2,2,3,3,2,3,3,2,2,2,3,2,2,2,3,3,2,3,3,3,2,東部(花蓮縣與臺東縣)
2023/12/27 上午 11:17:31,13,女,1,2,3,3,4,1,2,4,4,3,4,4,4,3,3,2,2,4,1,4,4,4,4,3,2,東部(花蓮縣與臺東縣)
2023/12/27 上午 11:17:39,13,男,1,2,4,2,3,3,3,3,3,3,3,4,3,2,3,3,3,4,2,4,4,4,4,4,3,東部(花蓮縣與臺東縣)
2023/12/27 上午 11:17:43,13,男,1,1,4,4,4,1,1,4,1,4,4,4,4,4,4,1,1,1,4,4,4,4,4,4,4,東部(花蓮縣與臺東縣)
2023/12/27 上午 11:17:59,13,女,1,2,2,2,2,2,2,4,2,2,4,2,2,2,4,1,2,4,2,4,3,2,4,3,3,東部(花蓮縣與臺東縣)
2023/12/27 上午 11:32:39,14,男,1,1,4,1,4,1,1,4,1,4,4,4,4,4,2,1,1,1,4,4,4,4,4,4,4,東部(花蓮縣與臺東縣)